YearAndMonth,Year,RegionName,Metro,State,SizeRank,Price Reduction
2011-02,2011,Manvel,Houston-The Woodlands-Sugar Land,TX,2658,2.844
2011-02,2011,Bellaire,Houston-The Woodlands-Sugar Land,TX,2715,2.717
2011-02,2011,Dickinson,Houston-The Woodlands-Sugar Land,TX,2842,5.209
2011-02,2011,Angleton,Houston-The Woodlands-Sugar Land,TX,2883,4.54
2011-02,2011,Spring Branch,San Antonio-New Braunfels,TX,2922,4.952
2011-02,2011,La Marque,Houston-The Woodlands-Sugar Land,TX,2945,6.588
2011-02,2011,Pecan Grove,Houston-The Woodlands-Sugar Land,TX,3019,2.475
2011-02,2011,Canyon Lake,San Antonio-New Braunfels,TX,3113,5.357
2011-02,2011,Timberwood Park,San Antonio-New Braunfels,TX,3224,3.226
2011-02,2011,Seabrook,Houston-The Woodlands-Sugar Land,TX,3256,3.484
2011-02,2011,Sienna Plantation,Houston-The Woodlands-Sugar Land,TX,3418,2.564
2011-02,2011,Fulshear,Houston-The Woodlands-Sugar Land,TX,3683,7.059
2011-02,2011,Fair Oaks Ranch,San Antonio-New Braunfels,TX,3766,4.465
2011-03,2011,Houston,Houston-The Woodlands-Sugar Land,TX,3,4.178
2011-03,2011,San Antonio,San Antonio-New Braunfels,TX,5,3.521
2011-03,2011,Spring,Houston-The Woodlands-Sugar Land,TX,113,3.703
2011-03,2011,Sugar Land,Houston-The Woodlands-Sugar Land,TX,191,2.879
2011-03,2011,Cypress,Houston-The Woodlands-Sugar Land,TX,213,3.227
2011-03,2011,Conroe,Houston-The Woodlands-Sugar Land,TX,222,3.451
2011-03,2011,Pasadena,Houston-The Woodlands-Sugar Land,TX,227,5
2011-03,2011,Pearland,Houston-The Woodlands-Sugar Land,TX,277,3.117
2011-03,2011,The Woodlands,Houston-The Woodlands-Sugar Land,TX,379,2.858
2011-03,2011,League City,Houston-The Woodlands-Sugar Land,TX,403,3.126
2011-03,2011,New Braunfels,San Antonio-New Braunfels,TX,430,3.706
2011-03,2011,Missouri City,Houston-The Woodlands-Sugar Land,TX,595,3.515
2011-03,2011,Richmond,Houston-The Woodlands-Sugar Land,TX,600,3.847
2011-03,2011,Tomball,Houston-The Woodlands-Sugar Land,TX,606,3.427
2011-03,2011,Atascocita,Houston-The Woodlands-Sugar Land,TX,639,3.828
2011-03,2011,Baytown,Houston-The Woodlands-Sugar Land,TX,653,6.667
2011-03,2011,Galveston,Houston-The Woodlands-Sugar Land,TX,1090,5.571
2011-03,2011,Katy,Houston-The Woodlands-Sugar Land,TX,1167,3.436
2011-03,2011,Seguin,San Antonio-New Braunfels,TX,1172,5.948
2011-03,2011,Texas City,Houston-The Woodlands-Sugar Land,TX,1254,6.005
2011-03,2011,Montgomery,Houston-The Woodlands-Sugar Land,TX,1373,4.899
2011-03,2011,Boerne,San Antonio-New Braunfels,TX,1416,4.115
2011-03,2011,Friendswood,Houston-The Woodlands-Sugar Land,TX,1427,3.409
2011-03,2011,Converse,San Antonio-New Braunfels,TX,1448,4.616
2011-03,2011,La Porte,Houston-The Woodlands-Sugar Land,TX,1668,4.423
2011-03,2011,Deer Park,Houston-The Woodlands-Sugar Land,TX,1679,3.542
2011-03,2011,Cibolo,San Antonio-New Braunfels,TX,1728,3.032
2011-03,2011,Porter,Houston-The Woodlands-Sugar Land,TX,1733,3.848
2011-03,2011,Willis,Houston-The Woodlands-Sugar Land,TX,1799,5.562
2011-03,2011,Rosenberg,Houston-The Woodlands-Sugar Land,TX,1828,6.098
2011-03,2011,Schertz,San Antonio-New Braunfels,TX,1831,2.743
2011-03,2011,Lake Jackson,Houston-The Woodlands-Sugar Land,TX,1935,3.413
