Date,ValuePerSqft,RegionID,RegionName,SizeRank
2002-04,115,59,Washington,13
2002-04,168,26,Massachusetts,14
2002-04,69,22,Indiana,15
2002-04,84,8,Arizona,16
2002-04,61,53,Tennessee,17
2002-04,81,32,Missouri,18
2002-04,108,27,Maryland,19
2002-04,96,60,Wisconsin,20
2002-04,126,31,Minnesota,21
2002-04,138,10,Colorado,22
2002-04,56,4,Alabama,23
2002-04,70,51,South Carolina,24
2002-04,55,25,Louisiana,25
2002-04,70,24,Kentucky,26
2002-04,100,46,Oregon,27
2002-04,49,45,Oklahoma,28
2002-04,124,11,Connecticut,29
2002-04,71,19,Iowa,30
2002-04,42,34,Mississippi,31
2002-04,47,6,Arkansas,32
2002-04,73,23,Kansas,33
2002-04,117,55,Utah,34
2002-04,96,42,Nevada,35
2002-04,88,41,New Mexico,36
2002-04,43,61,West Virginia,37
2002-04,73,38,Nebraska,38
2002-04,77,20,Idaho,39
2002-04,193,18,Hawaii,40
2002-04,103,28,Maine,41
2002-04,110,39,New Hampshire,42
2002-04,129,50,Rhode Island,43
2002-04,116,35,Montana,44
2002-04,84,13,Delaware,45
2002-04,81,52,South Dakota,46
2002-04,113,3,Alaska,47
2002-04,,37,North Dakota,48
2002-04,179,12,District of Columbia,49
2002-04,117,62,Wyoming,50
2002-05,176,9,California,1
2002-05,61,54,Texas,2
2002-05,91,43,New York,3
2002-05,81,14,Florida,4
2002-05,113,21,Illinois,5
2002-05,74,47,Pennsylvania,6
2002-05,78,44,Ohio,7
2002-05,102,30,Michigan,8
2002-05,75,16,Georgia,9
2002-05,75,36,North Carolina,10
2002-05,129,40,New Jersey,11
2002-05,91,56,Virginia,12
2002-05,115,59,Washington,13
2002-05,170,26,Massachusetts,14
2002-05,69,22,Indiana,15
2002-05,85,8,Arizona,16
2002-05,61,53,Tennessee,17
2002-05,81,32,Missouri,18
2002-05,110,27,Maryland,19
2002-05,96,60,Wisconsin,20
2002-05,127,31,Minnesota,21
2002-05,138,10,Colorado,22
2002-05,56,4,Alabama,23
2002-05,70,51,South Carolina,24
2002-05,55,25,Louisiana,25
2002-05,70,24,Kentucky,26
2002-05,101,46,Oregon,27
2002-05,50,45,Oklahoma,28
2002-05,125,11,Connecticut,29
2002-05,71,19,Iowa,30
2002-05,42,34,Mississippi,31
2002-05,47,6,Arkansas,32
2002-05,73,23,Kansas,33
2002-05,117,55,Utah,34
2002-05,97,42,Nevada,35
2002-05,88,41,New Mexico,36
2002-05,43,61,West Virginia,37
2002-05,73,38,Nebraska,38
2002-05,77,20,Idaho,39
2002-05,195,18,Hawaii,40
2002-05,104,28,Maine,41
2002-05,111,39,New Hampshire,42
2002-05,131,50,Rhode Island,43
2002-05,116,35,Montana,44
2002-05,85,13,Delaware,45
2002-05,81,52,South Dakota,46
2002-05,113,3,Alaska,47
2002-05,,37,North Dakota,48
2002-05,183,12,District of Columbia,49
2002-05,116,62,Wyoming,50
2002-06,179,9,California,1
2002-06,62,54,Texas,2
2002-06,91,43,New York,3
2002-06,81,14,Florida,4
2002-06,114,21,Illinois,5
2002-06,75,47,Pennsylvania,6
2002-06,78,44,Ohio,7
2002-06,103,30,Michigan,8
2002-06,76,16,Georgia,9
2002-06,75,36,North Carolina,10
2002-06,131,40,New Jersey,11
2002-06,92,56,Virginia,12
2002-06,115,59,Washington,13
2002-06,172,26,Massachusetts,14
2002-06,69,22,Indiana,15
2002-06,85,8,Arizona,16
2002-06,61,53,Tennessee,17
2002-06,82,32,Missouri,18
2002-06,111,27,Maryland,19
2002-06,97,60,Wisconsin,20
2002-06,128,31,Minnesota,21
2002-06,138,10,Colorado,22
2002-06,56,4,Alabama,23
2002-06,70,51,South Carolina,24
