Pivot1 Names,RegionName,SizeRank,RegionID,Pivot1 Values
2003-12,Pennsylvania,6,47,119900
2003-12,Ohio,7,44,117800
2003-12,Michigan,8,30,125500
2003-12,Georgia,9,16,141900
2003-12,North Carolina,10,36,127100
2003-12,New Jersey,11,40,281300
2003-12,Virginia,12,56,180200
2003-12,Washington,13,59,204000
2003-12,Massachusetts,14,26,327600
2003-12,Indiana,15,22,103600
2003-12,Arizona,16,8,159000
2003-12,Tennessee,17,53,96000
2003-12,Missouri,18,32,125000
2003-12,Maryland,19,27,216700
2003-12,Wisconsin,20,60,151300
2003-12,Minnesota,21,31,185900
2003-12,Colorado,22,10,218800
2003-12,Alabama,23,4,98500
2003-12,South Carolina,24,51,114500
2003-12,Louisiana,25,25,98600
2003-12,Kentucky,26,24,103800
2003-12,Oregon,27,46,172500
2003-12,Oklahoma,28,45,79100
2003-12,Connecticut,29,11,244400
2003-12,Iowa,30,19,93700
2003-12,Mississippi,31,34,69800
2003-12,Arkansas,32,6,81800
2003-12,Kansas,33,23,102700
2003-12,Utah,34,55,171800
2003-12,Nevada,35,42,206100
2003-12,New Mexico,36,41,149800
2003-12,West Virginia,37,61,68600
2003-12,Nebraska,38,38,104300
2003-12,Idaho,39,20,132300
2003-12,Hawaii,40,18,370700
2003-12,Maine,41,28,164100
2003-12,New Hampshire,42,39,229400
2003-12,Rhode Island,43,50,249800
2003-12,Montana,44,35,139200
2003-12,Delaware,45,13,170800
2003-12,South Dakota,46,52,103900
2003-12,Alaska,47,3,215900
2003-12,North Dakota,48,37,
2003-12,Vermont,49,58,146500
2003-12,District of Columbia,50,12,283200
2003-12,Wyoming,51,62,163900
2004-01,California,1,9,381400
2004-01,Texas,2,54,119300
2004-01,New York,3,43,209800
2004-01,Florida,4,14,157200
2004-01,Illinois,5,21,166900
2004-01,Pennsylvania,6,47,120900
2004-01,Ohio,7,44,118200
2004-01,Michigan,8,30,125800
2004-01,Georgia,9,16,142600
2004-01,North Carolina,10,36,127900
2004-01,New Jersey,11,40,284100
2004-01,Virginia,12,56,182400
2004-01,Washington,13,59,205900
2004-01,Massachusetts,14,26,330000
2004-01,Indiana,15,22,103700
2004-01,Arizona,16,8,160000
2004-01,Tennessee,17,53,96500
2004-01,Missouri,18,32,125200
2004-01,Maryland,19,27,219900
2004-01,Wisconsin,20,60,152200
2004-01,Minnesota,21,31,187200
2004-01,Colorado,22,10,219400
2004-01,Alabama,23,4,98800
2004-01,South Carolina,24,51,115200
2004-01,Louisiana,25,25,99200
2004-01,Kentucky,26,24,104200
2004-01,Oregon,27,46,173400
2004-01,Oklahoma,28,45,79400
2004-01,Connecticut,29,11,246700
2004-01,Iowa,30,19,94000
2004-01,Mississippi,31,34,69800
2004-01,Arkansas,32,6,82200
2004-01,Kansas,33,23,102900
2004-01,Utah,34,55,171900
2004-01,Nevada,35,42,211500
2004-01,New Mexico,36,41,151500
2004-01,West Virginia,37,61,68400
2004-01,Nebraska,38,38,105000
2004-01,Idaho,39,20,132600
2004-01,Hawaii,40,18,378100
2004-01,Maine,41,28,165800
2004-01,New Hampshire,42,39,231300
2004-01,Rhode Island,43,50,252900
2004-01,Montana,44,35,139300
2004-01,Delaware,45,13,172400
2004-01,South Dakota,46,52,106200
2004-01,Alaska,47,3,217000
2004-01,North Dakota,48,37,
2004-01,Vermont,49,58,147500
2004-01,District of Columbia,50,12,288700
2004-01,Wyoming,51,62,165600
2004-02,California,1,9,388800
2004-02,Texas,2,54,120300
2004-02,New York,3,43,212000
2004-02,Florida,4,14,159200
2004-02,Illinois,5,21,168100
2004-02,Pennsylvania,6,47,121800
2004-02,Ohio,7,44,118600
2004-02,Michigan,8,30,126200
2004-02,Georgia,9,16,143400
2004-02,North Carolina,10,36,128700
2004-02,New Jersey,11,40,287100
2004-02,Virginia,12,56,184800
2004-02,Washington,13,59,207700
2004-02,Massachusetts,14,26,332400
2004-02,Indiana,15,22,103900
2004-02,Arizona,16,8,161200
2004-02,Tennessee,17,53,96800
2004-02,Missouri,18,32,125400
2004-02,Maryland,19,27,223300
2004-02,Wisconsin,20,60,153300
2004-02,Minnesota,21,31,188600
2004-02,Colorado,22,10,220000
2004-02,Alabama,23,4,99200
2004-02,South Carolina,24,51,115900
2004-02,Louisiana,25,25,99800
2004-02,Kentucky,26,24,104600
2004-02,Oregon,27,46,174400
2004-02,Oklahoma,28,45,79700
2004-02,Connecticut,29,11,249000
2004-02,Iowa,30,19,94400
2004-02,Mississippi,31,34,70000
2004-02,Arkansas,32,6,82700
2004-02,Kansas,33,23,103300
2004-02,Utah,34,55,171800
2004-02,Nevada,35,42,217300
2004-02,New Mexico,36,41,153300
2004-02,West Virginia,37,61,68400
2004-02,Nebraska,38,38,105700
2004-02,Idaho,39,20,133000
2004-02,Hawaii,40,18,385800
2004-02,Maine,41,28,167600
2004-02,New Hampshire,42,39,233200
2004-02,Rhode Island,43,50,255900
2004-02,Montana,44,35,139600
2004-02,Delaware,45,13,174200
2004-02,South Dakota,46,52,108500
2004-02,Alaska,47,3,218000
2004-02,North Dakota,48,37,
2004-02,Vermont,49,58,148600
2004-02,District of Columbia,50,12,294400
2004-02,Wyoming,51,62,167700
2004-03,California,1,9,396900
2004-03,Texas,2,54,121200
2004-03,New York,3,43,214100
2004-03,Florida,4,14,161400
2004-03,Illinois,5,21,169200
2004-03,Pennsylvania,6,47,122800
2004-03,Ohio,7,44,119000
2004-03,Michigan,8,30,126600
2004-03,Georgia,9,16,144200
2004-03,North Carolina,10,36,129600
2004-03,New Jersey,11,40,290200
2004-03,Virginia,12,56,187400
2004-03,Washington,13,59,209600
2004-03,Massachusetts,14,26,334900
2004-03,Indiana,15,22,104100
2004-03,Arizona,16,8,162600
2004-03,Tennessee,17,53,97200
2004-03,Missouri,18,32,125500
2004-03,Maryland,19,27,226700
2004-03,Wisconsin,20,60,154500
2004-03,Minnesota,21,31,190100
2004-03,Colorado,22,10,220500
2004-03,Alabama,23,4,99500
2004-03,South Carolina,24,51,116700
2004-03,Louisiana,25,25,100200
2004-03,Kentucky,26,24,105000
2004-03,Oregon,27,46,175600
2004-03,Oklahoma,28,45,80000
2004-03,Connecticut,29,11,251400
2004-03,Iowa,30,19,94700
2004-03,Mississippi,31,34,70100
2004-03,Arkansas,32,6,83200
2004-03,Kansas,33,23,103700
2004-03,Utah,34,55,171600
2004-03,Nevada,35,42,223800
2004-03,New Mexico,36,41,154700
2004-03,West Virginia,37,61,68800
2004-03,Nebraska,38,38,106600
2004-03,Idaho,39,20,133600
2004-03,Hawaii,40,18,394000
2004-03,Maine,41,28,169600
2004-03,New Hampshire,42,39,235100
2004-03,Rhode Island,43,50,258800
2004-03,Montana,44,35,140300
2004-03,Delaware,45,13,176100
2004-03,South Dakota,46,52,110900
2004-03,Alaska,47,3,219100
2004-03,North Dakota,48,37,
2004-03,Vermont,49,58,149800
2004-03,District of Columbia,50,12,300300
2004-03,Wyoming,51,62,170000
2004-04,California,1,9,406000
2004-04,Texas,2,54,122200
2004-04,New York,3,43,216400
2004-04,Florida,4,14,163800
2004-04,Illinois,5,21,170300
2004-04,Pennsylvania,6,47,123900
2004-04,Ohio,7,44,119400
2004-04,Michigan,8,30,127200
2004-04,Georgia,9,16,144900
2004-04,North Carolina,10,36,130500
2004-04,New Jersey,11,40,293500
2004-04,Virginia,12,56,190400
2004-04,Washington,13,59,211700
2004-04,Massachusetts,14,26,337600
2004-04,Indiana,15,22,104500
2004-04,Arizona,16,8,164200
2004-04,Tennessee,17,53,97600
2004-04,Missouri,18,32,125600
2004-04,Maryland,19,27,230400
2004-04,Wisconsin,20,60,155900
2004-04,Minnesota,21,31,191700
2004-04,Colorado,22,10,220900
2004-04,Alabama,23,4,99700
2004-04,South Carolina,24,51,117300
2004-04,Louisiana,25,25,100600
2004-04,Kentucky,26,24,105500
2004-04,Oregon,27,46,177100
2004-04,Oklahoma,28,45,80300
2004-04,Connecticut,29,11,253800
2004-04,Iowa,30,19,95100
2004-04,Mississippi,31,34,70200
2004-04,Arkansas,32,6,83700
2004-04,Kansas,33,23,104300
2004-04,Utah,34,55,171300
2004-04,Nevada,35,42,231200
2004-04,New Mexico,36,41,155500
2004-04,West Virginia,37,61,69300
2004-04,Nebraska,38,38,107600
2004-04,Idaho,39,20,134500
2004-04,Hawaii,40,18,402900
2004-04,Maine,41,28,171800
2004-04,New Hampshire,42,39,237100
2004-04,Rhode Island,43,50,261900
2004-04,Montana,44,35,141400
2004-04,Delaware,45,13,178300
2004-04,South Dakota,46,52,113200
2004-04,Alaska,47,3,220200
2004-04,North Dakota,48,37,
2004-04,Vermont,49,58,151300
2004-04,District of Columbia,50,12,306400
2004-04,Wyoming,51,62,172300
2004-05,California,1,9,415500
2004-05,Texas,2,54,123000
2004-05,New York,3,43,218900
2004-05,Florida,4,14,166300
2004-05,Illinois,5,21,171400
2004-05,Pennsylvania,6,47,125000
2004-05,Ohio,7,44,119700
2004-05,Michigan,8,30,127700
2004-05,Georgia,9,16,145400
2004-05,North Carolina,10,36,131300
2004-05,New Jersey,11,40,297000
2004-05,Virginia,12,56,193800
2004-05,Washington,13,59,213900
2004-05,Massachusetts,14,26,340300
2004-05,Indiana,15,22,104900
2004-05,Arizona,16,8,166200
2004-05,Tennessee,17,53,98100
2004-05,Missouri,18,32,125800
2004-05,Maryland,19,27,234400
2004-05,Wisconsin,20,60,157200
2004-05,Minnesota,21,31,193100
2004-05,Colorado,22,10,221400
2004-05,Alabama,23,4,100000
2004-05,South Carolina,24,51,117900
2004-05,Louisiana,25,25,101100
2004-05,Kentucky,26,24,105900
2004-05,Oregon,27,46,178800
2004-05,Oklahoma,28,45,80600
2004-05,Connecticut,29,11,256100
2004-05,Iowa,30,19,95400
2004-05,Mississippi,31,34,70400
2004-05,Arkansas,32,6,84200
2004-05,Kansas,33,23,104900
2004-05,Utah,34,55,170900
2004-05,Nevada,35,42,239400
2004-05,New Mexico,36,41,155300
2004-05,West Virginia,37,61,70000
2004-05,Nebraska,38,38,108700
2004-05,Idaho,39,20,135500
2004-05,Hawaii,40,18,412400
2004-05,Maine,41,28,174000
2004-05,New Hampshire,42,39,239200
2004-05,Rhode Island,43,50,265100
2004-05,Montana,44,35,142800
2004-05,Delaware,45,13,180500
2004-05,South Dakota,46,52,115400
2004-05,Alaska,47,3,221400
2004-05,North Dakota,48,37,
2004-05,Vermont,49,58,152900
2004-05,District of Columbia,50,12,312900
2004-05,Wyoming,51,62,174400
2004-06,California,1,9,425400
2004-06,Texas,2,54,123700
2004-06,New York,3,43,221600
2004-06,Florida,4,14,169100
2004-06,Illinois,5,21,172400
2004-06,Pennsylvania,6,47,126200
2004-06,Ohio,7,44,120000
2004-06,Michigan,8,30,128300
2004-06,Georgia,9,16,145800
2004-06,North Carolina,10,36,132000
2004-06,New Jersey,11,40,300800
2004-06,Virginia,12,56,197400
2004-06,Washington,13,59,216400
2004-06,Massachusetts,14,26,343200
2004-06,Indiana,15,22,105200
2004-06,Arizona,16,8,168500
2004-06,Tennessee,17,53,98700
2004-06,Missouri,18,32,126100
2004-06,Maryland,19,27,238800
2004-06,Wisconsin,20,60,158400
2004-06,Minnesota,21,31,194400
2004-06,Colorado,22,10,221800
2004-06,Alabama,23,4,100400
2004-06,South Carolina,24,51,118400
2004-06,Louisiana,25,25,101600
2004-06,Kentucky,26,24,106300
2004-06,Oregon,27,46,180600
2004-06,Oklahoma,28,45,81000
2004-06,Connecticut,29,11,258600
2004-06,Iowa,30,19,95700
2004-06,Mississippi,31,34,70600
2004-06,Arkansas,32,6,84700
2004-06,Kansas,33,23,105500
2004-06,Utah,34,55,170600
2004-06,Nevada,35,42,248400
2004-06,New Mexico,36,41,154500
2004-06,West Virginia,37,61,71000
2004-06,Nebraska,38,38,109800
2004-06,Idaho,39,20,136600
2004-06,Hawaii,40,18,422200
2004-06,Maine,41,28,176200
2004-06,New Hampshire,42,39,241400
2004-06,Rhode Island,43,50,268400
2004-06,Montana,44,35,144200
2004-06,Delaware,45,13,183000
2004-06,South Dakota,46,52,117400
2004-06,Alaska,47,3,222900
2004-06,North Dakota,48,37,
2004-06,Vermont,49,58,154500
2004-06,District of Columbia,50,12,319700
2004-06,Wyoming,51,62,176100
2004-07,California,1,9,435100
2004-07,Texas,2,54,124300
2004-07,New York,3,43,224600
2004-07,Florida,4,14,172200
2004-07,Illinois,5,21,173500
2004-07,Pennsylvania,6,47,127300
2004-07,Ohio,7,44,120300
2004-07,Michigan,8,30,128800
2004-07,Georgia,9,16,146400
2004-07,North Carolina,10,36,132600
2004-07,New Jersey,11,40,304800
2004-07,Virginia,12,56,201400
2004-07,Washington,13,59,219000
2004-07,Massachusetts,14,26,346100
2004-07,Indiana,15,22,105500
2004-07,Arizona,16,8,171200
2004-07,Tennessee,17,53,99500
2004-07,Missouri,18,32,126300
2004-07,Maryland,19,27,243600
2004-07,Wisconsin,20,60,159600
2004-07,Minnesota,21,31,195600
2004-07,Colorado,22,10,222400
2004-07,Alabama,23,4,100800
2004-07,South Carolina,24,51,119000
2004-07,Louisiana,25,25,102200
2004-07,Kentucky,26,24,106700
2004-07,Oregon,27,46,182700
2004-07,Oklahoma,28,45,81300
2004-07,Connecticut,29,11,261200
2004-07,Iowa,30,19,96100
2004-07,Mississippi,31,34,71200
2004-07,Arkansas,32,6,85100
2004-07,Kansas,33,23,106100
2004-07,Utah,34,55,170400
2004-07,Nevada,35,42,257900
2004-07,New Mexico,36,41,153700
2004-07,West Virginia,37,61,72000
2004-07,Nebraska,38,38,110500
2004-07,Idaho,39,20,137700
2004-07,Hawaii,40,18,432200
2004-07,Maine,41,28,178100
2004-07,New Hampshire,42,39,243700
2004-07,Rhode Island,43,50,271700
2004-07,Montana,44,35,145600
2004-07,Delaware,45,13,186000
2004-07,South Dakota,46,52,118900
2004-07,Alaska,47,3,224600
2004-07,North Dakota,48,37,
2004-07,Vermont,49,58,156200
2004-07,District of Columbia,50,12,326600
2004-07,Wyoming,51,62,177500
2004-08,California,1,9,444200
2004-08,Texas,2,54,124900
2004-08,New York,3,43,227700
2004-08,Florida,4,14,175400
2004-08,Illinois,5,21,174500
2004-08,Pennsylvania,6,47,128400
2004-08,Ohio,7,44,120600
2004-08,Michigan,8,30,129300
2004-08,Georgia,9,16,147100
2004-08,North Carolina,10,36,133100
2004-08,New Jersey,11,40,308900
2004-08,Virginia,12,56,205500
2004-08,Washington,13,59,221700
2004-08,Massachusetts,14,26,348900
2004-08,Indiana,15,22,105800
2004-08,Arizona,16,8,174300
2004-08,Tennessee,17,53,100200
2004-08,Missouri,18,32,126600
2004-08,Maryland,19,27,248600
2004-08,Wisconsin,20,60,160800
2004-08,Minnesota,21,31,196600
2004-08,Colorado,22,10,222900
2004-08,Alabama,23,4,101400
2004-08,South Carolina,24,51,119600
2004-08,Louisiana,25,25,102900
2004-08,Kentucky,26,24,107100
2004-08,Oregon,27,46,185000
2004-08,Oklahoma,28,45,81700
2004-08,Connecticut,29,11,263800
2004-08,Iowa,30,19,96600
